#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
100,0.20000000000000015,-45228.85098573221,5256.541868008114,-39972.3091177241,235.5940636653722,27.0,0.9916318011950421
200,0.4000000000000003,-45180.67875596537,5568.037200178493,-39612.641555786875,249.555038953223,27.0,0.9916318011950421
300,0.6000000000000004,-44961.03158113016,5879.864298120684,-39081.167283009476,263.5308837214906,27.0,0.9916318011950421
400,0.8000000000000006,-44850.42982598795,5993.836821879297,-38856.593004108654,268.63904241074397,27.0,0.9916318011950421
500,1.0000000000000007,-44595.76267739786,6049.849351736466,-38545.9133256614,271.1494798535697,27.0,0.9916318011950421
600,1.2000000000000008,-44688.615526404516,6240.889093446342,-38447.726432958174,279.711730512113,27.0,0.9916318011950421
700,1.400000000000001,-44592.67699262156,6245.174792115788,-38347.50220050577,279.90381214877317,27.0,0.9916318011950421
800,1.6000000000000012,-44501.757660117284,6089.8359099986155,-38411.921750118665,272.94164588011785,27.0,0.9916318011950421
900,1.8000000000000014,-44597.38527318491,6391.856435385418,-38205.528837799495,286.477967795345,27.0,0.9916318011950421
1000,2.0000000000000013,-44392.66768762125,6532.533968754913,-37860.13371886634,292.78302396823517,27.0,0.9916318011950421
1100,2.1999999999999793,-44247.527679648534,6442.282611673691,-37805.24506797484,288.73802927400726,27.0,0.9916318011950421
1200,2.3999999999999573,-44396.69082948221,6650.544154908451,-37746.14667457376,298.0721475038106,27.0,0.9916318011950421
1300,2.5999999999999353,-44494.803271498815,6852.995061414182,-37641.80821008464,307.14583757497843,27.0,0.9916318011950421
1400,2.7999999999999132,-44211.42167588724,6811.193449668092,-37400.22822621915,305.2723222817853,27.0,0.9916318011950421
1500,2.999999999999891,-44001.47148820414,6663.632659221639,-37337.838828982494,298.65876395163394,27.0,0.9916318011950421
1600,3.199999999999869,-43878.591934409276,6678.406734122031,-37200.18520028725,299.3209263447205,27.0,0.9916318011950421
1700,3.399999999999847,-44063.54335710062,6876.047497597526,-37187.4958595031,308.1790295963099,27.0,0.9916318011950421
1800,3.599999999999825,-43987.014432158605,6749.330831951552,-37237.683600207056,302.49968851175504,27.0,0.9916318011950421
1900,3.799999999999803,-44035.66485330118,6642.4027701152345,-37393.262083185946,297.7072570538798,27.0,0.9916318011950421
2000,3.999999999999781,-43846.480906691686,6401.236857744426,-37445.24404894726,286.89839093244706,27.0,0.9916318011950421
