#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
100,0.20000000000000015,-45071.90936299814,5193.6513535201975,-39878.25800947795,232.77536037216913,27.0,0.9916318011950421
200,0.4000000000000003,-45081.30025598063,5710.645960056494,-39370.654295924134,255.94665117615943,27.0,0.9916318011950421
300,0.6000000000000004,-44785.26403352274,5786.406802274464,-38998.85723124828,259.3421924146821,27.0,0.9916318011950421
400,0.8000000000000006,-44725.11009427561,6018.717169710713,-38706.3929245649,269.75415999150295,27.0,0.9916318011950421
500,1.0000000000000007,-44703.81488820566,6127.810963874342,-38576.00392433132,274.6436578654012,27.0,0.9916318011950421
600,1.2000000000000008,-44704.81178971781,6265.674148889158,-38439.13764082865,280.82257716311796,27.0,0.9916318011950421
700,1.400000000000001,-44602.32600900187,6185.5041373722925,-38416.821871629574,277.22942043163454,27.0,0.9916318011950421
800,1.6000000000000012,-44478.91061517252,6184.413962187031,-38294.49665298549,277.1805596390351,27.0,0.9916318011950421
900,1.8000000000000014,-44461.08679124369,6241.931431820414,-38219.155359423276,279.7584472965367,27.0,0.9916318011950421
1000,2.0000000000000013,-44381.21837398066,6246.792362974932,-38134.42601100572,279.97631039981763,27.0,0.9916318011950421
1100,2.1999999999999793,-44557.099764075414,6445.419685185182,-38111.68007889023,288.87863043635843,27.0,0.9916318011950421
1200,2.3999999999999573,-44678.87238809122,6484.718938671756,-38194.153449419464,290.63999200455345,27.0,0.9916318011950421
1300,2.5999999999999353,-44537.59154435648,6614.278053057101,-37923.31349129938,296.44672940137673,27.0,0.9916318011950421
1400,2.7999999999999132,-44298.15925237192,6463.602864117037,-37834.55638825489,289.6935861853047,27.0,0.9916318011950421
1500,2.999999999999891,-44373.01368066324,6684.316461382484,-37688.69721928076,299.5857956628777,27.0,0.9916318011950421
1600,3.199999999999869,-44226.83837815775,6770.868664651798,-37455.969713505954,303.4649971986844,27.0,0.9916318011950421
1700,3.399999999999847,-44139.59696313395,6515.381253864437,-37624.21570926951,292.0142528054799,27.0,0.9916318011950421
1800,3.599999999999825,-44297.730158534185,6622.668857493571,-37675.061301040616,296.82279864314205,27.0,0.9916318011950421
1900,3.799999999999803,-43940.79917165293,6382.852595961476,-37557.94657569145,286.0744228085949,27.0,0.9916318011950421
2000,3.999999999999781,-44058.27401086344,6627.854468245378,-37430.41954261806,297.05521363008245,27.0,0.9916318011950421
2100,4.1999999999997595,-44390.60657998575,6832.369545710306,-37558.237034275444,306.2214182167985,27.0,0.9916318011950421
2200,4.3999999999997375,-44310.181355681554,6637.991367482446,-37672.18998819911,297.5095414646541,27.0,0.9916318011950421
2300,4.599999999999715,-44138.4902374412,6504.312394121085,-37634.17784332011,291.5181552355262,27.0,0.9916318011950421
2400,4.799999999999693,-44398.10370942606,6620.263590181888,-37777.840119244174,296.71499645790504,27.0,0.9916318011950421
2500,4.999999999999671,-44428.90762206568,6609.201442203251,-37819.70617986243,296.2191997039562,27.0,0.9916318011950421
2600,5.199999999999649,-44336.930536475316,6558.10528816556,-37778.82524830976,293.92911035059717,27.0,0.9916318011950421
2700,5.399999999999627,-44231.7563321258,6538.326846106541,-37693.42948601926,293.0426561655722,27.0,0.9916318011950421
2800,5.599999999999605,-44165.2315151359,6626.81768933092,-37538.41382580498,297.0087460162571,27.0,0.9916318011950421
2900,5.799999999999583,-44264.55090257181,6785.981153318108,-37478.56974925371,304.142327030044,27.0,0.9916318011950421
3000,5.999999999999561,-43938.732088294164,6527.264622093313,-37411.46746620085,292.54685600381293,27.0,0.9916318011950421
3100,6.199999999999539,-43992.285664763585,6588.263355865864,-37404.02230889772,295.2807711763298,27.0,0.9916318011950421
3200,6.399999999999517,-44104.53361245646,6758.672846594945,-37345.86076586151,302.9183902453136,27.0,0.9916318011950421
3300,6.599999999999495,-43931.45965787424,6696.072748812044,-37235.386909062196,300.1127031999421,27.0,0.9916318011950421
3400,6.799999999999473,-43994.82607575907,6709.891911545155,-37284.93416421391,300.73206718228977,27.0,0.9916318011950421
3500,6.999999999999451,-43995.34114476694,6563.357900697038,-37431.9832440699,294.16452830449606,27.0,0.9916318011950421
3600,7.199999999999429,-43987.32740327372,6590.196502610174,-37397.13090066354,295.36741328983135,27.0,0.9916318011950421
3700,7.399999999999407,-43985.55829736246,6576.999465957608,-37408.55883140485,294.775932508095,27.0,0.9916318011950421
3800,7.599999999999385,-44037.93769189371,6820.796729744905,-37217.140962148806,305.70273372615765,27.0,0.9916318011950421
3900,7.799999999999363,-43732.28519460215,6751.54257180248,-36980.74262279967,302.59881694872655,27.0,0.9916318011950421
4000,7.999999999999341,-43672.62387963785,6693.038203157479,-36979.585676480376,299.9766972553328,27.0,0.9916318011950421
4100,8.199999999999408,-43820.867251601354,6686.677527429378,-37134.18972417198,299.69161678226334,27.0,0.9916318011950421
4200,8.399999999999475,-43797.15700265421,6644.4754549008485,-37152.68154775336,297.8001531524179,27.0,0.9916318011950421
4300,8.599999999999541,-43873.159361090795,6732.609785692748,-37140.54957539805,301.75026439685854,27.0,0.9916318011950421
4400,8.799999999999608,-43848.85708924784,6608.296468185502,-37240.56062106234,296.17863948172135,27.0,0.9916318011950421
4500,8.999999999999675,-43853.434270110265,6634.5884513534775,-37218.84581875679,297.3570254457072,27.0,0.9916318011950421
4600,9.199999999999742,-43774.64475175394,6629.440210456938,-37145.204541297004,297.1262853462274,27.0,0.9916318011950421
4700,9.399999999999809,-43876.233120169774,6677.964738441594,-37198.26838172818,299.30111644667505,27.0,0.9916318011950421
4800,9.599999999999875,-44006.220751967565,6817.7858981934405,-37188.434853774124,305.56779062895936,27.0,0.9916318011950421
4900,9.799999999999942,-43988.376379218236,6663.743045863951,-37324.633333354286,298.66371139394295,27.0,0.9916318011950421
5000,10.000000000000009,-44234.86513253702,6705.033753635712,-37529.83137890131,300.5143283736674,27.0,0.9916318011950421
